strain,replicate,chl_wanted,chl_real,dil_name
PCC9511,A,40,40.899000000000008,NA
PCC9511,A,20,27.266000000000005,dilution_0
PCC9511,A,5,5.4532000000000007,dilution_1
PCC9511,A,1,0.27238761238761239,dilution_2
PCC9512,A,0.3,0.27238761238761239,dilution_3
PCC9513,A,0.1,0.13626186906546728,dilution_4
PCC9514,A,0.05,5.452109578084384E-2,dilution_5
RCC162,A,5,NA,dilution_1
RCC162,A,1,NA,dilution_2
RCC162,A,0.3,NA,dilution_3
RCC162,A,0.1,NA,dilution_4
RCC162,A,0.05,NA,dilution_5
RCC156,A,5,5.0165757000000006,dilution_1
RCC156,A,1,1.0561212,dilution_2
RCC156,A,0.3,0.2640303,dilution_3
RCC156,A,0.1,0.13201515,dilution_4
RCC156,A,0.05,2.6376653346653348E-2,dilution_5
RCC2379,A,5,4.9279999999999999,dilution_1
RCC2379,A,1,0.98560000000000003,dilution_2
RCC2379,A,0.3,0.49280000000000002,dilution_3
RCC2379,A,0.1,0.14784,dilution_4
RCC2379,A,0.05,4.9280000000000004E-2,dilution_5
RCC2374,A,5,5.0497664000000002,dilution_1
RCC2374,A,1,1.0820928000000001,dilution_2
RCC2374,A,0.3,0.36069760000000001,dilution_3
RCC2374,A,0.1,7.2067452547452546E-2,dilution_4
RCC2374,A,0.05,3.6051734132933534E-2,dilution_5
RCC2319,A,5,5.0176000000000007,dilution_1
RCC2319,A,1,1.1468800000000001,dilution_2
RCC2319,A,0.3,0.28672000000000003,dilution_3
RCC2319,A,0.1,0.14336000000000002,dilution_4
RCC2319,A,0.05,2.8643356643356647E-2,dilution_5
RCC76,A,20,17.366886999999998,dilution_0
RCC76,A,5,5.2100660999999997,dilution_1
RCC76,A,1,0.86834434999999999,dilution_2
RCC76,A,0.5,0.3466444510978044,NA
RCC76,A,0.1,0.17349537462537462,dilution_4
RCC76,A,0.05,8.6791039480259874E-2,dilution_5
RCC4213,A,5,5.2784691924227314,dilution_1
RCC4213,A,1,1.0849262737262737,dilution_2
RCC4213,A,0.3,0.33937849999999997,dilution_3
RCC4213,A,0.1,6.7807892107892107E-2,dilution_4
RCC4213,A,0.05,3.3920889555222385E-2,dilution_5
RCC100,A,5,4.9599239909999993,dilution_1
RCC100,A,1,0.9018043619999998,dilution_2
RCC100,A,0.3,0.4509021809999999,dilution_3
RCC100,A,0.1,9.0180436199999991E-2,dilution_4
RCC100,A,0.05,NA,dilution_5
RCC1717,A,5,5.5649958000000002,dilution_1
RCC1717,A,1,0.79499940000000013,dilution_2
RCC1717,A,0.3,0.39749970000000007,dilution_3
RCC1717,A,0.1,7.9420519480519494E-2,dilution_4
RCC1717,A,0.05,3.973010494752624E-2,dilution_5
RCC3030,A,5,NA,dilution_1
RCC3030,A,1,NA,dilution_2
RCC3030,A,0.3,NA,dilution_3
RCC3030,A,0.1,NA,dilution_4
RCC3030,A,0.05,NA,dilution_5
RCC3006,A,5,5.0268294999999998,dilution_1
RCC3006,A,1,1.0053658999999999,dilution_2
RCC3006,A,0.3,0.28724739999999999,dilution_3
RCC3006,A,0.1,0.14362369999999999,dilution_4
RCC3006,A,0.05,5.7334810379241513E-2,dilution_5
PCC9511,B,5,5.0526215499999996,dilution_1
PCC9511,B,1,1.0637098,dilution_2
PCC9512,B,0.3,0.26592745000000001,dilution_3
PCC9513,B,0.1,0.132963725,dilution_4
PCC9514,B,0.05,2.6566178821178822E-2,dilution_5
RCC162,B,5,NA,dilution_1
RCC162,B,1,NA,dilution_2
RCC162,B,0.3,NA,dilution_3
RCC162,B,0.1,NA,dilution_4
RCC162,B,0.05,NA,dilution_5
RCC156,B,5,6.0588370400000002,dilution_1
RCC156,B,1,0.95665848000000009,dilution_2
RCC156,B,0.3,0.31888616000000003,dilution_3
RCC156,B,0.1,0.15944308000000001,dilution_4
RCC156,B,0.05,6.3649932135728546E-2,dilution_5
RCC2379,B,5,5.686656000000001,dilution_1
RCC2379,B,1,1.1373312000000002,dilution_2
RCC2379,B,0.3,0.37911040000000007,dilution_3
RCC2379,B,0.1,0.18955520000000003,dilution_4
RCC2379,B,0.05,3.7873166833166841E-2,dilution_5
RCC2374,B,5,5.0770560000000016,dilution_1
RCC2374,B,1,1.0154112000000002,dilution_2
RCC2374,B,0.3,0.33847040000000006,dilution_3
RCC2374,B,0.1,0.16923520000000003,dilution_4
RCC2374,B,0.05,3.3813226773226783E-2,dilution_5
RCC2319,B,5,5.1110784000000011,dilution_1
RCC2319,B,1,1.1111040000000003,dilution_2
RCC2319,B,0.3,0.33333120000000011,dilution_3
RCC2319,B,0.1,0.11111040000000003,dilution_4
RCC2319,B,0.05,2.2199880119880125E-2,dilution_5
RCC76,B,20,19.085539894999997,dilution_0
RCC76,B,5,5.7256619684999999,dilution_1
RCC76,B,1,1.9085539894999999,dilution_2
RCC76,B,0.3,0.38094890009980037,dilution_3
RCC76,B,0.1,9.538000947026487E-2,dilution_4
RCC76,B,0.05,3.8163447100579881E-2,dilution_5
RCC4213,B,5,5.1599831411999997,dilution_1
RCC4213,B,1,1.07499648775,dilution_2
RCC4213,B,0.3,0.42999859509999994,dilution_3
RCC4213,B,0.1,0.21499929754999997,dilution_4
RCC4213,B,0.05,4.29569026073926E-2,dilution_5
RCC100,B,5,5.0155253604500016,dilution_1
RCC100,B,1,0.91191370190000021,dilution_2
RCC100,B,0.3,0.4559568509500001,dilution_3
RCC100,B,0.1,9.110026992007994E-2,dilution_4
RCC100,B,0.05,4.5572898645677172E-2,dilution_5
RCC1717,B,5,5.1467640861000001,dilution_1
RCC1717,B,1,1.4705040245999998,dilution_2
RCC1717,B,0.3,0.36762600614999996,dilution_3
RCC1717,B,0.1,7.3451749480519468E-2,dilution_4
RCC1717,B,0.05,3.6744228500749619E-2,dilution_5
RCC3030,B,5,NA,dilution_1
RCC3030,B,1,NA,dilution_2
RCC3030,B,0.3,NA,dilution_3
RCC3030,B,0.1,NA,dilution_4
RCC3030,B,0.05,NA,dilution_5
RCC3006,B,10,9.7222871385000005,NA
RCC3006,B,5,4.5370673312999994,dilution_1
RCC3006,B,1,0.97222871384999998,dilution_2
RCC3006,B,0.3,0.32407623795000001,dilution_3
RCC3006,B,0.1,6.4750497092907089E-2,dilution_4
RCC3006,B,0.05,3.2391428080959517E-2,dilution_5
PCC9511,C,5,5.2346860200000007,dilution_1
PCC9511,C,1,1.1632635600000001,dilution_2
PCC9512,C,0.3,0.29081589000000002,dilution_3
PCC9513,C,0.1,0.11609416766467068,dilution_4
PCC9514,C,0.05,5.8105072927072933E-2,dilution_5
RCC162,C,5,NA,dilution_1
RCC162,C,1,NA,dilution_2
RCC162,C,0.3,NA,dilution_3
RCC162,C,0.1,NA,dilution_4
RCC162,C,0.05,NA,dilution_5
RCC156,C,5,4.8544817999999994,dilution_1
RCC156,C,1,0.97089636000000001,dilution_2
RCC156,C,0.3,0.24272409,dilution_3
RCC156,C,0.1,0.121362045,dilution_4
RCC156,C,0.05,4.8447922155688619E-2,dilution_5
RCC2379,C,5,5.2171776000000012,dilution_1
RCC2379,C,1,1.1593728000000001,dilution_2
RCC2379,C,0.3,0.28984320000000002,dilution_3
RCC2379,C,0.1,5.791072927072928E-2,dilution_4
RCC2379,C,0.05,2.8969835082458775E-2,dilution_5
RCC2374,C,5,5.1133440000000006,dilution_1
RCC2374,C,1,1.2783360000000001,dilution_2
RCC2374,C,0.3,0.4261120000000001,dilution_3
RCC2374,C,0.1,0.21305600000000005,dilution_4
RCC2374,C,0.05,4.2568631368631378E-2,dilution_5
RCC2319,C,5,5.0208768000000008,dilution_1
RCC2319,C,1,1.1157504,dilution_2
RCC2319,C,0.3,0.27893760000000001,dilution_3
RCC2319,C,0.1,0.1394688,dilution_4
RCC2319,C,0.05,5.5676167664670664E-2,dilution_5
RCC76,C,20,19.725775600000002,dilution_0
RCC76,C,5,4.9314439000000005,dilution_1
RCC76,C,1,0.98628877999999998,dilution_2
RCC76,C,0.3,0.49314438999999999,dilution_3
RCC76,C,0.1,9.8530347652347652E-2,dilution_4
RCC76,C,0.05,2.4651056735816045E-2,dilution_5
RCC4213,C,5,5.1816360200000009,dilution_1
RCC4213,C,1,0.94211564000000014,dilution_2
RCC4213,C,0.3,0.47105782000000007,dilution_3
RCC4213,C,0.1,0.23552891000000004,dilution_4
RCC4213,C,0.05,4.705872327672328E-2,dilution_5
RCC100,C,20,17.30889985,dilution_0
RCC100,C,5,3.5404567874999997,dilution_1
RCC100,C,1,1.1801522625,dilution_2
RCC100,C,0.3,0.39338408749999998,dilution_3
RCC100,C,0.1,7.8598219280719278E-2,dilution_4
RCC100,C,0.05,3.9318749375312344E-2,dilution_5
RCC1717,C,5,4.8119812739999999,dilution_1
RCC1717,C,1,0.80199687900000005,dilution_2
RCC1717,C,0.3,0.40099843950000003,dilution_3
RCC1717,C,0.1,8.0039608682634725E-2,dilution_4
RCC1717,C,0.05,4.0059784165834167E-2,dilution_5
RCC3030,C,5,NA,dilution_1
RCC3030,C,1,NA,dilution_2
RCC3030,C,0.3,NA,dilution_3
RCC3030,C,0.1,NA,dilution_4
RCC3030,C,0.05,NA,dilution_5
RCC3006,C,5,4.9408320645000003,dilution_1
RCC3006,C,1,1.0979626810000001,dilution_2
RCC3006,C,0.3,0.27449067025000001,dilution_3
RCC3006,C,0.1,0.10957711387225549,dilution_4
RCC3006,C,0.05,8.2223865277084376E-2,dilution_5
RCC2379,D,5,4.3138944000000006,dilution_1
RCC2379,D,1,0.95864320000000014,dilution_2
RCC2379,D,0.3,0.23966080000000003,dilution_3
RCC2379,D,0.05,4.7884275724275727E-2,dilution_5
RCC2379,D,0.3,2.3954102948525739E-2,dilution_3
